molecule_chembl_id,canonical_smiles,standard_value,drug_level
CHEMBL94,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,14.13,Active
CHEMBL27673,COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC,5370.32,Intermediate
CHEMBL132377,COc1ccccc1CNCCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCNCc1ccccc1OC,309.03,Active
CHEMBL132133,NCCCCCCNCCSSCCNCCCCCCN,501187.23,inactive
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,218.78,Active
CHEMBL134488,COc1ccccc1CNCCCCCC(=O)NCCCCCCCCNC(=O)CCCCCNCc1ccccc1OC,1862.09,Intermediate
CHEMBL134382,COc1ccccc1CNCCCCCCNCCCCCNCCCCCCNCc1ccccc1OC,7244.36,Intermediate
CHEMBL59109,NC12CC(C(F)(F)F)=CC(Cc3nc(O)ccc31)/C2=C\C(F)(F)F,3000.0,Intermediate
CHEMBL286990,C[n+]1ccn(COCC(C)(C)[N+](=O)[O-])c1/C=N/O.[Cl-],10600.0,inactive
CHEMBL294891,C/C=C1\C2C=C(C(F)(F)F)CC1(N)c1ccc(O)nc1C2,400.0,Active
CHEMBL1255901,C/C=C1\[C@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2,5.0,Active
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,254.0,Active
CHEMBL89011,Nc1c2c(nc3ccccc13)-c1ccccc1CO2,245000.0,inactive
CHEMBL748,C[n+]1ccccc1/C=N/O.[Cl-],366000.0,inactive
CHEMBL50608,Nc1cc(-c2ccccc2)nc2ccccc12,11480.0,inactive
CHEMBL29300,CN(CCn1cc[n+](C)c1/C=N/O)S(C)(=O)=O.[Cl-],6800.0,Intermediate
CHEMBL27675,C[n+]1ccn(COCCS(C)(=O)=O)c1/C=N/O.[Cl-],26500.0,inactive
CHEMBL435373,CC1=CC2Cc3nc(O)ccc3C(N)(C1)/C2=C/C(F)(F)F,2000.0,Intermediate
CHEMBL60167,Nc1c2c(nc3ccccc13)-c1ccccc1C2,676.0,Active
CHEMBL89012,Nc1c2c(nc3ccccc13)-c1ccccc1CC2,2980.0,Intermediate
CHEMBL314800,Nc1c2c(nc3ccccc13)-c1ccccc1CS2,18580.0,inactive
CHEMBL553212,C[n+]1ccn(CCN2CCCC2)c1/C=N/O.[Cl-],17900.0,inactive
CHEMBL156630,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NCc3ccccc3)c(Br)c21,4190.0,Intermediate
CHEMBL315013,COc1cc2cc(C(=O)CC(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],219.0,Active
CHEMBL155754,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,230.0,Active
CHEMBL314658,COc1cc2cc(C(=O)CC3=CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],750.0,Active
CHEMBL87170,COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccccc4)cc3)sc2cc1OC,4.6,Active
CHEMBL87959,COc1cc2cc(C(=O)CCC3CC[N+](C)(CCOc4ccccc4)CC3)sc2cc1OC.[Br-],390.0,Active
CHEMBL87295,CCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1.[Br-],2570.0,Intermediate
CHEMBL82810,COc1cc2cc(C(=O)CCc3cc[n+](CC4CCC4)cc3)sc2cc1OC.[Br-],40.0,Active
CHEMBL157182,C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,670.0,Active
CHEMBL88049,COc1cc2cc(C(=O)CCCCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],110.0,Active
